zeroesandones(),     5,     1.9093499999999972e-05
zeroesandones(),     20,     3.6387000000000226e-05
zeroesandones(),     40,     4.225780000000033e-05
zeroesandones(),     5,     2.259419999999998e-05
zeroesandones(),     20,     3.634329999999998e-05
zeroesandones(),     40,     7.51734999999993e-05
zeroesandones(),     5,     2.479789999999954e-05
zeroesandones(),     5,     2.608399999999983e-05
zeroesandones(),     5,     3.0136299999997813e-05
zeroesandones(),     20,     4.4685099999999814e-05
zeroesandones(),     40,     8.065210000000045e-05
